t = 70.600000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.182548934314595179e+00
2.000000000000000111e-01 8.363246342637236097e+00
3.000000000000000444e-01 1.254024055246200930e+01
4.000000000000000222e-01 1.671167959839960560e+01
5.000000000000000000e-01 2.087571107609687360e+01
6.000000000000000888e-01 2.503048199658938699e+01
7.000000000000000666e-01 2.917413864123079392e+01
8.000000000000000444e-01 3.330482641734204918e+01
9.000000000000000222e-01 3.742068971472290428e+01
1.000000000000000000e+00 4.151987176316728778e+01
1.100000000000000089e+00 4.560051449112307154e+01
1.200000000000000178e+00 4.966075838563568823e+01
1.300000000000000044e+00 5.369874235371391080e+01
1.400000000000000133e+00 5.771260358525434953e+01
1.500000000000000000e+00 6.170047741765999660e+01
1.600000000000000089e+00 6.566049720228652120e+01
1.700000000000000178e+00 6.959079417284782210e+01
1.800000000000000044e+00 7.348949731591106627e+01
1.900000000000000133e+00 7.735473324360849290e+01
2.000000000000000000e+00 8.118462606869198339e+01
2.100000000000000089e+00 8.497729728205351307e+01
2.200000000000000178e+00 8.873086563283234796e+01
2.300000000000000266e+00 9.244344701122734875e+01
2.400000000000000355e+00 9.611315433412994480e+01
2.500000000000000000e+00 9.973809743369071157e+01
2.600000000000000089e+00 1.033163829489293448e+02
2.700000000000000178e+00 1.068461142204950676e+02
2.800000000000000266e+00 1.103253911886818059e+02
2.900000000000000355e+00 1.137523102947978657e+02
3.000000000000000000e+00 1.171249643859882781e+02
3.100000000000000089e+00 1.204414426236031090e+02
3.200000000000000178e+00 1.236998303952026248e+02
3.300000000000000266e+00 1.268982092302861417e+02
3.400000000000000355e+00 1.300346567198274101e+02
3.500000000000000000e+00 1.331072464396965529e+02
3.600000000000000089e+00 1.361140478780430385e+02
3.700000000000000178e+00 1.390531263667126041e+02
3.800000000000000266e+00 1.419225430167656157e+02
3.900000000000000355e+00 1.447203546581596640e+02
4.000000000000000000e+00 1.474446137836569051e+02
4.100000000000000533e+00 1.500933684970108857e+02
4.200000000000000178e+00 1.526646624654846960e+02
4.299999999999999822e+00 1.551565348767467185e+02
4.400000000000000355e+00 1.575670204001867489e+02
4.500000000000000000e+00 1.598941491526908862e+02
4.600000000000000533e+00 1.621359466689088720e+02
4.700000000000000178e+00 1.642904338760430960e+02
4.800000000000000711e+00 1.663556270731846780e+02
4.900000000000000355e+00 1.683295379152163207e+02
5.000000000000000000e+00 1.702101734012987322e+02
5.100000000000000533e+00 1.719955358679513040e+02
5.200000000000000178e+00 1.736836229867342354e+02
5.300000000000000711e+00 1.752724277665346335e+02
5.400000000000000355e+00 1.767599385604537190e+02
5.500000000000000000e+00 1.781441390772895090e+02
5.600000000000000533e+00 1.794230083976021319e+02
5.700000000000000178e+00 1.805945209943475618e+02
5.800000000000000711e+00 1.816566467580585424e+02
5.900000000000000355e+00 1.826073510265477466e+02
6.000000000000000000e+00 1.834445946191046914e+02
6.100000000000000533e+00 1.841663338751521906e+02
6.200000000000000178e+00 1.847705206973238887e+02
6.300000000000000711e+00 1.852551025989212405e+02
6.400000000000000355e+00 1.856180227557026683e+02
6.500000000000000000e+00 1.858572200619536829e+02
6.600000000000000533e+00 1.859706291907828017e+02
6.700000000000000178e+00 1.859561806585842874e+02
6.800000000000000711e+00 1.858118008936030492e+02
6.900000000000000355e+00 1.855354123085351716e+02
7.000000000000000000e+00 1.851249333770916792e+02
7.100000000000000533e+00 1.845782787144505050e+02
7.200000000000000178e+00 1.838933591615167984e+02
7.300000000000000711e+00 1.830680818729090333e+02
7.400000000000000355e+00 1.821003504085834663e+02
7.500000000000000000e+00 1.809880648290069303e+02
7.600000000000000533e+00 1.797291217937839463e+02
7.700000000000000178e+00 1.783214146636410078e+02
7.800000000000000711e+00 1.767628336056667706e+02
7.900000000000000355e+00 1.750512657017053755e+02
8.000000000000000000e+00 1.731845950597944750e+02
8.099999999999999645e+00 1.711607029285395924e+02
8.200000000000001066e+00 1.689774678143104438e+02
8.300000000000000711e+00 1.666327656011449108e+02
8.400000000000000355e+00 1.641244696732407817e+02
8.500000000000000000e+00 1.614504510399159756e+02
8.599999999999999645e+00 1.586085784629129307e+02
8.700000000000001066e+00 1.555967185859214794e+02
8.800000000000000711e+00 1.524127360661929629e+02
8.900000000000000355e+00 1.490544937081147054e+02
9.000000000000000000e+00 1.455198525986143068e+02
9.099999999999999645e+00 1.418066722442590049e+02
9.200000000000001066e+00 1.379128107099151350e+02
9.300000000000000711e+00 1.338361247588310050e+02
9.400000000000000355e+00 1.295744699940042040e+02
9.500000000000000000e+00 1.251257010006950310e+02
9.600000000000001421e+00 1.204876714899440202e+02
9.700000000000001066e+00 1.156582344429531730e+02
9.800000000000000711e+00 1.106352422561865723e+02
9.900000000000000355e+00 1.054165468870494635e+02
1.000000000000000000e+01 1.000000000000000000e+02
