t = 1.800000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 3.941943560681537284e-01
2.000000000000000111e-01 7.895781201658695903e-01
3.000000000000000444e-01 1.187334083545291685e+00
4.000000000000000222e-01 1.588631914533402023e+00
5.000000000000000000e-01 1.994621870555250309e+00
6.000000000000000888e-01 2.406428829813646253e+00
7.000000000000000666e-01 2.825146735323261993e+00
8.000000000000000444e-01 3.251833532816600592e+00
9.000000000000000222e-01 3.687506670890720706e+00
1.000000000000000000e+00 4.133139217137361321e+00
1.100000000000000089e+00 4.589656628427307261e+00
1.200000000000000178e+00 5.057934197551727351e+00
1.300000000000000044e+00 5.538795182600268596e+00
1.400000000000000133e+00 6.033009610287986213e+00
1.500000000000000000e+00 6.541293730389340588e+00
1.600000000000000089e+00 7.064310085886663870e+00
1.700000000000000178e+00 7.602668152700493565e+00
1.800000000000000044e+00 8.156925494158198120e+00
1.900000000000000133e+00 8.727589368800712677e+00
2.000000000000000000e+00 9.315118725759814922e+00
2.100000000000000089e+00 9.919926519709873602e+00
2.200000000000000178e+00 1.054238227718242804e+01
2.300000000000000266e+00 1.118281484764114886e+01
2.400000000000000355e+00 1.184151527591022379e+01
2.500000000000000000e+00 1.251873973705985499e+01
2.600000000000000089e+00 1.321471248038759683e+01
2.700000000000000178e+00 1.392962873539847202e+01
2.800000000000000266e+00 1.466365753939331462e+01
2.900000000000000355e+00 1.541694445315502371e+01
3.000000000000000000e+00 1.618961413803651439e+01
3.100000000000000089e+00 1.698177277429412868e+01
3.200000000000000178e+00 1.779351030660673416e+01
3.300000000000000266e+00 1.862490250824165372e+01
3.400000000000000355e+00 1.947601286017912514e+01
3.500000000000000000e+00 2.034689424562882110e+01
3.600000000000000089e+00 2.123759046373492865e+01
3.700000000000000178e+00 2.214813756886866614e+01
3.800000000000000266e+00 2.307856504376539419e+01
3.900000000000000355e+00 2.402889681590919579e+01
4.000000000000000000e+00 2.499915212704193834e+01
4.100000000000000533e+00 2.598934626551830718e+01
4.200000000000000178e+00 2.699949117048563352e+01
4.299999999999999822e+00 2.802959591557228691e+01
4.400000000000000355e+00 2.907966707794728833e+01
4.500000000000000000e+00 3.014970899628162471e+01
4.600000000000000533e+00 3.123972391829958184e+01
4.700000000000000178e+00 3.234971203524462879e+01
4.800000000000000711e+00 3.347967139667587588e+01
4.900000000000000355e+00 3.462959769452162107e+01
5.000000000000000000e+00 3.579948390020615534e+01
5.100000000000000533e+00 3.698931973288819108e+01
5.200000000000000178e+00 3.819909093036343961e+01
5.300000000000000711e+00 3.942877828695619513e+01
5.400000000000000355e+00 4.067835641474069774e+01
5.500000000000000000e+00 4.194779217570486907e+01
5.600000000000000533e+00 4.323704272304352259e+01
5.700000000000000178e+00 4.454605307974299677e+01
5.800000000000000711e+00 4.587475317214756387e+01
5.900000000000000355e+00 4.722305422550185483e+01
6.000000000000000000e+00 4.859084441784585096e+01
6.100000000000000533e+00 4.997798367848441359e+01
6.200000000000000178e+00 5.138429750804012741e+01
6.300000000000000711e+00 5.280956968939275242e+01
6.400000000000000355e+00 5.425353375326730543e+01
6.500000000000000000e+00 5.571586305958562946e+01
6.600000000000000533e+00 5.719615935673302687e+01
6.700000000000000178e+00 5.869393968643955617e+01
6.800000000000000711e+00 6.020862151285760433e+01
6.900000000000000355e+00 6.173950597142430041e+01
7.000000000000000000e+00 6.328575915692755416e+01
7.100000000000000533e+00 6.484639140141126745e+01
7.200000000000000178e+00 6.642023453151918488e+01
7.300000000000000711e+00 6.800591714169772217e+01
7.400000000000000355e+00 6.960183797414953233e+01
7.500000000000000000e+00 7.120613755798623856e+01
7.600000000000000533e+00 7.281666832770005726e+01
7.700000000000000178e+00 7.443096351346505912e+01
7.800000000000000711e+00 7.604620517105902877e+01
7.900000000000000355e+00 7.765919179511946879e+01
8.000000000000000000e+00 7.926630603338915648e+01
8.099999999999999645e+00 8.086348308863566103e+01
8.200000000000001066e+00 8.244618045590181055e+01
8.300000000000000711e+00 8.400934969242283046e+01
8.400000000000000355e+00 8.554741095274114571e+01
8.500000000000000000e+00 8.705423103927874706e+01
8.599999999999999645e+00 8.852310571627938884e+01
8.700000000000001066e+00 8.994674701053267540e+01
8.800000000000000711e+00 9.131727617426066956e+01
8.900000000000000355e+00 9.262622291343308234e+01
9.000000000000000000e+00 9.386453138895952009e+01
9.099999999999999645e+00 9.502257338007126464e+01
9.200000000000001066e+00 9.609016886114839906e+01
9.300000000000000711e+00 9.705661408865590545e+01
9.400000000000000355e+00 9.791071712801007720e+01
9.500000000000000000e+00 9.864084057614344658e+01
9.600000000000001421e+00 9.923495105988843079e+01
9.700000000000001066e+00 9.968067491901027211e+01
9.800000000000000711e+00 9.996535932183105899e+01
9.900000000000000355e+00 1.000761379167525149e+02
1.000000000000000000e+01 1.000000000000000000e+02
