t = 48.200000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 3.879846000679184392e+00
2.000000000000000111e-01 7.758138967786558204e+00
3.000000000000000444e-01 1.163332542760290345e+01
4.000000000000000222e-01 1.550385102654477798e+01
5.000000000000000000e-01 1.936816009230852842e+01
6.000000000000000888e-01 2.322469519630445234e+01
7.000000000000000666e-01 2.707189671780929530e+01
8.000000000000000444e-01 3.090820241026358417e+01
9.000000000000000222e-01 3.473204697013825637e+01
1.000000000000000000e+00 3.854186160879259404e+01
1.100000000000000089e+00 4.233607362774267102e+01
1.200000000000000178e+00 4.611310599775617192e+01
1.300000000000000044e+00 4.987137694218587569e+01
1.400000000000000133e+00 5.360929952495009587e+01
1.500000000000000000e+00 5.732528124356363719e+01
1.600000000000000089e+00 6.101772362761859370e+01
1.700000000000000178e+00 6.468502184310825953e+01
1.800000000000000044e+00 6.832556430298299688e+01
1.900000000000000133e+00 7.193773228431956568e+01
2.000000000000000000e+00 7.551989955248023989e+01
2.100000000000000089e+00 7.907043199263083011e+01
2.200000000000000178e+00 8.258768724897960567e+01
2.300000000000000266e+00 8.607001437209224548e+01
2.400000000000000355e+00 8.951575347462927823e+01
2.500000000000000000e+00 9.292323539584550929e+01
2.600000000000000089e+00 9.629078137518132507e+01
2.700000000000000178e+00 9.961670273526816288e+01
2.800000000000000266e+00 1.028993005746608844e+02
2.900000000000000355e+00 1.061368654705998580e+02
3.000000000000000000e+00 1.093276771920969850e+02
3.100000000000000089e+00 1.124700044236292200e+02
3.200000000000000178e+00 1.155621044997127456e+02
3.300000000000000266e+00 1.186022231506217111e+02
3.400000000000000355e+00 1.215885942595027700e+02
3.500000000000000000e+00 1.245194396311272982e+02
3.600000000000000089e+00 1.273929687725104287e+02
3.700000000000000178e+00 1.302073786856162485e+02
3.800000000000000266e+00 1.329608536723555687e+02
3.900000000000000355e+00 1.356515651520705887e+02
4.000000000000000000e+00 1.382776714916893184e+02
4.100000000000000533e+00 1.408373178487203177e+02
4.200000000000000178e+00 1.433286360272451248e+02
4.299999999999999822e+00 1.457497443470538201e+02
4.400000000000000355e+00 1.480987475260556039e+02
4.500000000000000000e+00 1.503737365760840419e+02
4.600000000000000533e+00 1.525727887122028790e+02
4.700000000000000178e+00 1.546939672756055586e+02
4.800000000000000711e+00 1.567353216701882275e+02
4.900000000000000355e+00 1.586948873128617947e+02
5.000000000000000000e+00 1.605706855976567340e+02
5.100000000000000533e+00 1.623607238736588556e+02
5.200000000000000178e+00 1.640629954368021970e+02
5.300000000000000711e+00 1.656754795355306271e+02
5.400000000000000355e+00 1.671961413903262326e+02
5.500000000000000000e+00 1.686229322270894500e+02
5.600000000000000533e+00 1.699537893243410736e+02
5.700000000000000178e+00 1.711866360742037614e+02
5.800000000000000711e+00 1.723193820571061394e+02
5.900000000000000355e+00 1.733499231301397003e+02
6.000000000000000000e+00 1.742761415289841409e+02
6.100000000000000533e+00 1.750959059833046751e+02
6.200000000000000178e+00 1.758070718455100234e+02
6.300000000000000711e+00 1.764074812327475286e+02
6.400000000000000355e+00 1.768949631819982358e+02
6.500000000000000000e+00 1.772673338181211307e+02
6.600000000000000533e+00 1.775223965346844750e+02
6.700000000000000178e+00 1.776579421874070022e+02
6.800000000000000711e+00 1.776717493000214176e+02
6.900000000000000355e+00 1.775615842823584956e+02
7.000000000000000000e+00 1.773252016604388075e+02
7.100000000000000533e+00 1.769603443183465856e+02
7.200000000000000178e+00 1.764647437516486548e+02
7.300000000000000711e+00 1.758361203321093171e+02
7.400000000000000355e+00 1.750721835834413298e+02
7.500000000000000000e+00 1.741706324678216333e+02
7.600000000000000533e+00 1.731291556828891771e+02
7.700000000000000178e+00 1.719454319689330646e+02
7.800000000000000711e+00 1.706171304259668489e+02
7.900000000000000355e+00 1.691419108403768234e+02
8.000000000000000000e+00 1.675174240208212098e+02
8.099999999999999645e+00 1.657413121430479634e+02
8.200000000000001066e+00 1.638112091032907358e+02
8.300000000000000711e+00 1.617247408798926074e+02
8.400000000000000355e+00 1.594795259027992813e+02
8.500000000000000000e+00 1.570731754305565175e+02
8.599999999999999645e+00 1.545032939344370106e+02
8.700000000000001066e+00 1.517674794893162584e+02
8.800000000000000711e+00 1.488633241709097490e+02
8.900000000000000355e+00 1.457884144589759785e+02
9.000000000000000000e+00 1.425403316460867131e+02
9.099999999999999645e+00 1.391166522515570421e+02
9.200000000000001066e+00 1.355149484401240159e+02
9.300000000000000711e+00 1.317327884449587430e+02
9.400000000000000355e+00 1.277677369945895265e+02
9.500000000000000000e+00 1.236173557433136097e+02
9.600000000000001421e+00 1.192792037046678075e+02
9.700000000000001066e+00 1.147508376875277207e+02
9.800000000000000711e+00 1.100298127344003944e+02
9.900000000000000355e+00 1.051136825614761676e+02
1.000000000000000000e+01 1.000000000000000000e+02
