t = 50.100000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 3.920293181813188976e+00
2.000000000000000111e-01 7.838993488620412009e+00
3.000000000000000444e-01 1.175450764429080053e+01
4.000000000000000222e-01 1.566524157083693147e+01
5.000000000000000000e-01 1.956959998846935278e+01
6.000000000000000888e-01 2.346598601682935836e+01
7.000000000000000666e-01 2.735280077779105667e+01
8.000000000000000444e-01 3.122844300022222441e+01
9.000000000000000222e-01 3.509130862709148602e+01
1.000000000000000000e+00 3.893979042530730794e+01
1.100000000000000089e+00 4.277227759867133727e+01
1.200000000000000178e+00 4.658715540432602609e+01
1.300000000000000044e+00 5.038280477307276328e+01
1.400000000000000133e+00 5.415760193393325750e+01
1.500000000000000000e+00 5.790991804332256265e+01
1.600000000000000089e+00 6.163811881919814795e+01
1.700000000000000178e+00 6.534056418054399273e+01
1.800000000000000044e+00 6.901560789254442341e+01
1.900000000000000133e+00 7.266159721779573033e+01
2.000000000000000000e+00 7.627687257389889908e+01
2.100000000000000089e+00 7.985976719777026744e+01
2.200000000000000178e+00 8.340860681699980717e+01
2.300000000000000266e+00 8.692170932858130072e+01
2.400000000000000355e+00 9.039738448532999371e+01
2.500000000000000000e+00 9.383393359029706460e+01
2.600000000000000089e+00 9.722964919948171314e+01
2.700000000000000178e+00 1.005828148331345204e+02
2.800000000000000266e+00 1.038917046959365109e+02
2.900000000000000355e+00 1.071545834063302749e+02
3.000000000000000000e+00 1.103697057352705286e+02
3.100000000000000089e+00 1.135353163546522381e+02
3.200000000000000178e+00 1.166496495956650108e+02
3.300000000000000266e+00 1.197109292173137902e+02
3.400000000000000355e+00 1.227173681853339389e+02
3.500000000000000000e+00 1.256671684617210047e+02
3.600000000000000089e+00 1.285585208050829635e+02
3.700000000000000178e+00 1.313896045820145275e+02
3.800000000000000266e+00 1.341585875896802804e+02
3.900000000000000355e+00 1.368636258897836058e+02
4.000000000000000000e+00 1.395028636540868945e+02
4.100000000000000533e+00 1.420744330216372759e+02
4.200000000000000178e+00 1.445764539678409335e+02
4.299999999999999822e+00 1.470070341855172558e+02
4.400000000000000355e+00 1.493642689780519675e+02
4.500000000000000000e+00 1.516462411647573845e+02
4.600000000000000533e+00 1.538510209985352901e+02
4.700000000000000178e+00 1.559766660959260491e+02
4.800000000000000711e+00 1.580212213796156675e+02
4.900000000000000355e+00 1.599827190334595741e+02
5.000000000000000000e+00 1.618591784700706739e+02
5.100000000000000533e+00 1.636486063110055795e+02
5.200000000000000178e+00 1.653489963795716733e+02
5.300000000000000711e+00 1.669583297062644647e+02
5.400000000000000355e+00 1.684745745468324003e+02
5.500000000000000000e+00 1.698956864129541486e+02
5.600000000000000533e+00 1.712196081155003071e+02
5.700000000000000178e+00 1.724442698203397413e+02
5.800000000000000711e+00 1.735675891166377198e+02
5.900000000000000355e+00 1.745874710975809592e+02
6.000000000000000000e+00 1.755018084534523268e+02
6.100000000000000533e+00 1.763084815769655904e+02
6.200000000000000178e+00 1.770053586807586896e+02
6.300000000000000711e+00 1.775902959269314465e+02
6.400000000000000355e+00 1.780611375685021471e+02
6.500000000000000000e+00 1.784157161026453480e+02
6.600000000000000533e+00 1.786518524355610964e+02
6.700000000000000178e+00 1.787673560588155794e+02
6.800000000000000711e+00 1.787600252369793736e+02
6.900000000000000355e+00 1.786276472063808285e+02
7.000000000000000000e+00 1.783679983847790425e+02
7.100000000000000533e+00 1.779788445917509705e+02
7.200000000000000178e+00 1.774579412795761471e+02
7.300000000000000711e+00 1.768030337743918210e+02
7.400000000000000355e+00 1.760118575273818635e+02
7.500000000000000000e+00 1.750821383757512990e+02
7.600000000000000533e+00 1.740115928132299814e+02
7.700000000000000178e+00 1.727979282698382519e+02
7.800000000000000711e+00 1.714388434006388593e+02
7.900000000000000355e+00 1.699320283831902429e+02
8.000000000000000000e+00 1.682751652234065887e+02
8.099999999999999645e+00 1.664659280695234429e+02
8.200000000000001066e+00 1.645019835338578389e+02
8.300000000000000711e+00 1.623809910220448103e+02
8.400000000000000355e+00 1.601006030694242668e+02
8.500000000000000000e+00 1.576584656842458685e+02
8.599999999999999645e+00 1.550522186973514636e+02
8.700000000000001066e+00 1.522794961179886855e+02
8.800000000000000711e+00 1.493379264954034795e+02
8.900000000000000355e+00 1.462251332858524222e+02
9.000000000000000000e+00 1.429387352246719445e+02
9.099999999999999645e+00 1.394763467030345225e+02
9.200000000000001066e+00 1.358355781490183460e+02
9.300000000000000711e+00 1.320140364126129953e+02
9.400000000000000355e+00 1.280093251542772350e+02
9.500000000000000000e+00 1.238190452366657439e+02
9.600000000000001421e+00 1.194407951191336963e+02
9.700000000000001066e+00 1.148721712546289524e+02
9.800000000000000711e+00 1.101107684885762552e+02
9.900000000000000355e+00 1.051541804593590967e+02
1.000000000000000000e+01 1.000000000000000000e+02
