t = 1.410000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 3.305995707623440305e-01
2.000000000000000111e-01 6.625430067286464109e-01
3.000000000000000444e-01 9.971646257691840765e-01
4.000000000000000222e-01 1.335779855039925579e+00
5.000000000000000000e-01 1.679676288229881020e+00
6.000000000000000888e-01 2.030105325919529413e+00
7.000000000000000666e-01 2.388274561133262530e+00
8.000000000000000444e-01 2.755341046561404550e+00
9.000000000000000222e-01 3.132405550346320400e+00
1.000000000000000000e+00 3.520507875161996036e+00
1.100000000000000089e+00 3.920623282028816270e+00
1.200000000000000178e+00 4.333660027343603893e+00
1.300000000000000044e+00 4.760457990324563404e+00
1.400000000000000133e+00 5.201788339663048433e+00
1.500000000000000000e+00 5.658354163611870824e+00
1.600000000000000089e+00 6.130791967738132620e+00
1.700000000000000178e+00 6.619673929566095794e+00
1.800000000000000044e+00 7.125510789493591624e+00
1.900000000000000133e+00 7.648755252584096276e+00
2.000000000000000000e+00 8.189805775786442865e+00
2.100000000000000089e+00 8.749010619297253655e+00
2.200000000000000178e+00 9.326672048500144641e+00
2.300000000000000266e+00 9.923050583445986561e+00
2.400000000000000355e+00 1.053836920539722755e+01
2.500000000000000000e+00 1.117281744377425312e+01
2.600000000000000089e+00 1.182655528118882771e+01
2.700000000000000178e+00 1.249971682848555332e+01
2.800000000000000266e+00 1.319241373529566808e+01
2.900000000000000355e+00 1.390473831411148176e+01
3.000000000000000000e+00 1.463676636700683176e+01
3.100000000000000089e+00 1.538855971366472453e+01
3.200000000000000178e+00 1.616016842724018687e+01
3.300000000000000266e+00 1.695163279078519736e+01
3.400000000000000355e+00 1.776298499156919419e+01
3.500000000000000000e+00 1.859425057377431045e+01
3.600000000000000089e+00 1.944544967189674267e+01
3.700000000000000178e+00 2.031659804793491020e+01
3.800000000000000266e+00 2.120770795528637365e+01
3.900000000000000355e+00 2.211878885139880424e+01
4.000000000000000000e+00 2.304984797980125677e+01
4.100000000000000533e+00 2.400089084033133702e+01
4.200000000000000178e+00 2.497192156429898091e+01
4.299999999999999822e+00 2.596294320908206998e+01
4.400000000000000355e+00 2.697395798429978342e+01
4.500000000000000000e+00 2.800496741928946065e+01
4.600000000000000533e+00 2.905597247912513481e+01
4.700000000000000178e+00 3.012697363383632876e+01
4.800000000000000711e+00 3.121797088275910426e+01
4.900000000000000355e+00 3.232896373299767845e+01
5.000000000000000000e+00 3.345995112768762425e+01
5.100000000000000533e+00 3.461093131599955086e+01
5.200000000000000178e+00 3.578190165245205634e+01
5.300000000000000711e+00 3.697285830794193373e+01
5.400000000000000355e+00 3.818379586875825282e+01
5.500000000000000000e+00 3.941470679252716280e+01
5.600000000000000533e+00 4.066558068133524273e+01
5.700000000000000178e+00 4.193640332201170651e+01
5.800000000000000711e+00 4.322715543154889417e+01
5.900000000000000355e+00 4.453781103178710765e+01
6.000000000000000000e+00 4.586833536173654835e+01
6.100000000000000533e+00 4.721868221829923584e+01
6.200000000000000178e+00 4.858879059686804425e+01
6.300000000000000711e+00 4.997858048265352693e+01
6.400000000000000355e+00 5.138794762215876233e+01
6.500000000000000000e+00 5.281675708275062675e+01
6.600000000000000533e+00 5.426483538777752358e+01
6.700000000000000178e+00 5.573196099644616197e+01
6.800000000000000711e+00 5.721785288324660712e+01
6.900000000000000355e+00 5.872215696291603848e+01
7.000000000000000000e+00 6.024443010577557089e+01
7.100000000000000533e+00 6.178412149692358213e+01
7.200000000000000178e+00 6.334055111342951960e+01
7.300000000000000711e+00 6.491288512846516312e+01
7.400000000000000355e+00 6.650010810211571766e+01
7.500000000000000000e+00 6.810099188689106597e+01
7.600000000000000533e+00 6.971406126254871083e+01
7.700000000000000178e+00 7.133755641977691653e+01
7.800000000000000711e+00 7.296939253459713370e+01
7.900000000000000355e+00 7.460711681290794672e+01
8.000000000000000000e+00 7.624786353402063810e+01
8.099999999999999645e+00 7.788830777863810795e+01
8.200000000000001066e+00 7.952461868455158367e+01
8.300000000000000711e+00 8.115241322529647050e+01
8.400000000000000355e+00 8.276671164515859402e+01
8.500000000000000000e+00 8.436189579975243191e+01
8.599999999999999645e+00 8.593167173630553179e+01
8.700000000000001066e+00 8.746903789357666881e+01
8.800000000000000711e+00 8.896626030078297731e+01
8.900000000000000355e+00 9.041485610231853798e+01
9.000000000000000000e+00 9.180558662678254223e+01
9.099999999999999645e+00 9.312846105380957340e+01
9.200000000000001066e+00 9.437275151217522762e+01
9.300000000000000711e+00 9.552702017246552657e+01
9.400000000000000355e+00 9.657915858511437079e+01
9.500000000000000000e+00 9.751643917052824406e+01
9.600000000000001421e+00 9.832557840543881866e+01
9.700000000000001066e+00 9.899281088346072011e+01
9.800000000000000711e+00 9.950397307401485136e+01
9.900000000000000355e+00 9.984459527838563986e+01
1.000000000000000000e+01 1.000000000000000000e+02
