t = 45.700000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 3.820536683657691945e+00
2.000000000000000111e-01 7.639578712412751216e+00
3.000000000000000444e-01 1.145563093420412137e+01
4.000000000000000222e-01 1.526719720313837847e+01
5.000000000000000000e-01 1.907277988378434941e+01
6.000000000000000888e-01 2.287087935691937446e+01
7.000000000000000666e-01 2.665999352720899651e+01
8.000000000000000444e-01 3.043861733330012243e+01
9.000000000000000222e-01 3.420524226080517849e+01
1.000000000000000000e+00 3.795835585865243189e+01
1.100000000000000089e+00 4.169644125927420220e+01
1.200000000000000178e+00 4.541797670310118917e+01
1.300000000000000044e+00 4.912143506782718561e+01
1.400000000000000133e+00 5.280528340290380385e+01
1.500000000000000000e+00 5.646798246971992086e+01
1.600000000000000089e+00 6.010798628791560105e+01
1.700000000000000178e+00 6.372374168827363405e+01
1.800000000000000044e+00 6.731368787262688613e+01
1.900000000000000133e+00 7.087625598121158532e+01
2.000000000000000000e+00 7.440986866789086207e+01
2.100000000000000089e+00 7.791293968366481693e+01
2.200000000000000178e+00 8.138387346887560625e+01
2.300000000000000266e+00 8.482106475450817129e+01
2.400000000000000355e+00 8.822289817297813386e+01
2.500000000000000000e+00 9.158774787878964219e+01
2.600000000000000089e+00 9.491397717943655721e+01
2.700000000000000178e+00 9.819993817691072024e+01
2.800000000000000266e+00 1.014439714201711666e+02
2.900000000000000355e+00 1.046444055689168096e+02
3.000000000000000000e+00 1.077995570689956395e+02
3.100000000000000089e+00 1.109077298397711786e+02
3.200000000000000178e+00 1.139672149737563274e+02
3.300000000000000266e+00 1.169762904488130886e+02
3.400000000000000355e+00 1.199332208532035793e+02
3.500000000000000000e+00 1.228362571237667709e+02
3.600000000000000089e+00 1.256836362974812857e+02
3.700000000000000178e+00 1.284735812766635377e+02
3.800000000000000266e+00 1.312043006080359930e+02
3.900000000000000355e+00 1.338739882758869726e+02
4.000000000000000000e+00 1.364808235095308646e+02
4.100000000000000533e+00 1.390229706052622305e+02
4.200000000000000178e+00 1.414985787629852325e+02
4.299999999999999822e+00 1.439057819376835994e+02
4.400000000000000355e+00 1.462426987058830150e+02
4.500000000000000000e+00 1.485074321472432359e+02
4.600000000000000533e+00 1.506980697414018664e+02
4.700000000000000178e+00 1.528126832801776516e+02
4.800000000000000711e+00 1.548493287952254605e+02
4.900000000000000355e+00 1.568060465012203224e+02
5.000000000000000000e+00 1.586808607546324481e+02
5.100000000000000533e+00 1.604717800281403868e+02
5.200000000000000178e+00 1.621767969007131285e+02
5.300000000000000711e+00 1.637938880633775511e+02
5.400000000000000355e+00 1.653210143406713826e+02
5.500000000000000000e+00 1.667561207277669553e+02
5.600000000000000533e+00 1.680971364432344899e+02
5.700000000000000178e+00 1.693419749973997170e+02
5.800000000000000711e+00 1.704885342762337928e+02
5.900000000000000355e+00 1.715346966406984563e+02
6.000000000000000000e+00 1.724783290414540318e+02
6.100000000000000533e+00 1.733172831488229804e+02
6.200000000000000178e+00 1.740493954978854561e+02
6.300000000000000711e+00 1.746724876485689890e+02
6.400000000000000355e+00 1.751843663605795030e+02
6.500000000000000000e+00 1.755828237830048693e+02
6.600000000000000533e+00 1.758656376584089571e+02
6.700000000000000178e+00 1.760305715412185066e+02
6.800000000000000711e+00 1.760753750301911111e+02
6.900000000000000355e+00 1.759977840147382722e+02
7.000000000000000000e+00 1.757955209348637879e+02
7.100000000000000533e+00 1.754662950544633873e+02
7.200000000000000178e+00 1.750078027477188130e+02
7.300000000000000711e+00 1.744177277983050942e+02
7.400000000000000355e+00 1.736937417111184914e+02
7.500000000000000000e+00 1.728335040362176187e+02
7.600000000000000533e+00 1.718346627046599053e+02
7.700000000000000178e+00 1.706948543759021391e+02
7.800000000000000711e+00 1.694117047964226117e+02
7.900000000000000355e+00 1.679828291692106461e+02
8.000000000000000000e+00 1.664058325337581152e+02
8.099999999999999645e+00 1.646783101561777301e+02
8.200000000000001066e+00 1.627978479290606515e+02
8.300000000000000711e+00 1.607620227806780235e+02
8.400000000000000355e+00 1.585684030931199118e+02
8.500000000000000000e+00 1.562145491289570316e+02
8.599999999999999645e+00 1.536980134660011004e+02
8.700000000000001066e+00 1.510163414397316899e+02
8.800000000000000711e+00 1.481670715929497533e+02
8.900000000000000355e+00 1.451477361322093884e+02
9.000000000000000000e+00 1.419558613905748814e+02
9.099999999999999645e+00 1.385889682962408074e+02
9.200000000000001066e+00 1.350445728465481068e+02
9.300000000000000711e+00 1.313201865869245921e+02
9.400000000000000355e+00 1.274133170942704112e+02
9.500000000000000000e+00 1.233214684643077277e+02
9.600000000000001421e+00 1.190421418024075848e+02
9.700000000000001066e+00 1.145728357174037626e+02
9.800000000000000711e+00 1.099110468179002567e+02
9.900000000000000355e+00 1.050542702105776982e+02
1.000000000000000000e+01 1.000000000000000000e+02
