t = 4.590000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 8.009379993635979966e-01
2.000000000000000111e-01 1.602620511646348556e+00
3.000000000000000444e-01 2.405790411680436502e+00
4.000000000000000222e-01 3.211187308235616822e+00
5.000000000000000000e-01 4.019545936137576270e+00
6.000000000000000888e-01 4.831594578205669066e+00
7.000000000000000666e-01 5.648053526354371634e+00
8.000000000000000444e-01 6.469633590701855397e+00
9.000000000000000222e-01 7.297034664914341384e+00
1.000000000000000000e+00 8.130944355293880932e+00
1.100000000000000089e+00 8.972036680298250744e+00
1.200000000000000178e+00 9.820970846274107657e+00
1.300000000000000044e+00 1.067839010419889512e+01
1.400000000000000133e+00 1.154492069117362618e+01
1.500000000000000000e+00 1.242117085929911191e+01
1.600000000000000089e+00 1.330772999341354890e+01
1.700000000000000178e+00 1.420516781798093930e+01
1.800000000000000044e+00 1.511403369220906967e+01
1.900000000000000133e+00 1.603485599125276906e+01
2.000000000000000000e+00 1.696814157013396596e+01
2.100000000000000089e+00 1.791437530579374737e+01
2.200000000000000178e+00 1.887401971149191127e+01
2.300000000000000266e+00 1.984751461659533689e+01
2.400000000000000355e+00 2.083527690365391649e+01
2.500000000000000000e+00 2.183770029355944331e+01
2.600000000000000089e+00 2.285515516852339601e+01
2.700000000000000178e+00 2.388798842159971514e+01
2.800000000000000266e+00 2.493652332052253229e+01
2.900000000000000355e+00 2.600105937272956069e+01
3.000000000000000000e+00 2.708187217760456633e+01
3.100000000000000089e+00 2.817921325119857912e+01
3.200000000000000178e+00 2.929330980798420825e+01
3.300000000000000266e+00 3.042436448356295742e+01
3.400000000000000355e+00 3.157255498168642660e+01
3.500000000000000000e+00 3.273803362847343124e+01
3.600000000000000089e+00 3.392092681631097406e+01
3.700000000000000178e+00 3.512133431962461572e+01
3.800000000000000266e+00 3.633932846450002785e+01
3.900000000000000355e+00 3.757495313404023562e+01
4.000000000000000000e+00 3.882822259136302989e+01
4.100000000000000533e+00 4.009912010228912038e+01
4.200000000000000178e+00 4.138759634005788968e+01
4.299999999999999822e+00 4.269356755484393773e+01
4.400000000000000355e+00 4.401691349145036014e+01
4.500000000000000000e+00 4.535747503933650648e+01
4.600000000000000533e+00 4.671505160011362534e+01
4.700000000000000178e+00 4.808939815882578728e+01
4.800000000000000711e+00 4.948022204674062863e+01
4.900000000000000355e+00 5.088717938501635984e+01
5.000000000000000000e+00 5.230987120050248507e+01
5.100000000000000533e+00 5.374783920707805152e+01
5.200000000000000178e+00 5.520056124834550104e+01
5.300000000000000711e+00 5.666744640017936518e+01
5.400000000000000355e+00 5.814782973458253679e+01
5.500000000000000000e+00 5.964096674952281774e+01
5.600000000000000533e+00 6.114602747290196305e+01
5.700000000000000178e+00 6.266209025253553477e+01
5.800000000000000711e+00 6.418813524797553782e+01
5.900000000000000355e+00 6.572303764416493266e+01
6.000000000000000000e+00 6.726556061124340147e+01
6.100000000000000533e+00 6.881434803928938493e+01
6.200000000000000178e+00 7.036791708134330747e+01
6.300000000000000711e+00 7.192465054265913693e+01
6.400000000000000355e+00 7.348278915872425898e+01
6.500000000000000000e+00 7.504042380910846077e+01
6.600000000000000533e+00 7.659548771858763416e+01
6.700000000000000178e+00 7.814574870116815930e+01
6.800000000000000711e+00 7.968880150653998840e+01
6.900000000000000355e+00 8.122206033203912057e+01
7.000000000000000000e+00 8.274275156632594985e+01
7.100000000000000533e+00 8.424790683361177912e+01
7.200000000000000178e+00 8.573435640932085278e+01
7.300000000000000711e+00 8.719872307948732271e+01
7.400000000000000355e+00 8.863741651689539935e+01
7.500000000000000000e+00 9.004662824691679646e+01
7.600000000000000533e+00 9.142232727513429325e+01
7.700000000000000178e+00 9.276025644712323981e+01
7.800000000000000711e+00 9.405592960816538550e+01
7.900000000000000355e+00 9.530462962717449216e+01
8.000000000000000000e+00 9.650140734471604276e+01
8.099999999999999645e+00 9.764108149971463035e+01
8.200000000000001066e+00 9.871823968328592969e+01
8.300000000000000711e+00 9.972724036114514945e+01
8.400000000000000355e+00 1.006622159982830027e+02
8.500000000000000000e+00 1.015170773111343294e+02
8.599999999999999645e+00 1.022855186633736935e+02
8.700000000000001066e+00 1.029610246118543984e+02
8.800000000000000711e+00 1.035368775991672976e+02
8.900000000000000355e+00 1.040061667789562989e+02
9.000000000000000000e+00 1.043617979496089703e+02
9.099999999999999645e+00 1.045965045613856574e+02
9.200000000000001066e+00 1.047028597515889601e+02
9.300000000000000711e+00 1.046732893521554502e+02
9.400000000000000355e+00 1.045000858042092489e+02
9.500000000000000000e+00 1.041754229047941891e+02
9.600000000000001421e+00 1.036913713023296850e+02
9.700000000000001066e+00 1.030399146494412719e+02
9.800000000000000711e+00 1.022129663148166401e+02
9.900000000000000355e+00 1.012023865497345412e+02
1.000000000000000000e+01 1.000000000000000000e+02
