t = 8.050000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.256454965225180409e+00
2.000000000000000111e-01 2.513447232017635979e+00
3.000000000000000444e-01 3.771513049183854438e+00
4.000000000000000222e-01 5.031186559450302020e+00
5.000000000000000000e-01 6.292998745004194205e+00
6.000000000000000888e-01 7.557476371266767856e+00
7.000000000000000666e-01 8.825140928203422774e+00
8.000000000000000444e-01 1.009650756838554919e+01
9.000000000000000222e-01 1.137208404090905844e+01
1.000000000000000000e+00 1.265236962014614086e+01
1.100000000000000089e+00 1.393785402816106966e+01
1.200000000000000178e+00 1.522901634946000549e+01
1.300000000000000044e+00 1.652632393657099286e+01
1.400000000000000133e+00 1.783023130476574636e+01
1.500000000000000000e+00 1.914117901404258504e+01
1.600000000000000089e+00 2.045959253629226993e+01
1.700000000000000178e+00 2.178588110536868072e+01
1.800000000000000044e+00 2.312043654758748801e+01
1.900000000000000133e+00 2.446363208998159422e+01
2.000000000000000000e+00 2.581582114345467360e+01
2.100000000000000089e+00 2.717733605779890027e+01
2.200000000000000178e+00 2.854848684538066550e+01
2.300000000000000266e+00 2.992955987015567132e+01
2.400000000000000355e+00 3.132081649855217975e+01
2.500000000000000000e+00 3.272249170866516721e+01
2.600000000000000089e+00 3.413479265413558039e+01
2.700000000000000178e+00 3.555789717905267366e+01
2.800000000000000266e+00 3.699195228021618220e+01
2.900000000000000355e+00 3.843707251313156803e+01
3.000000000000000000e+00 3.989333833818911046e+01
3.100000000000000089e+00 4.136079440359893766e+01
3.200000000000000178e+00 4.283944776182047320e+01
3.300000000000000266e+00 4.432926601643980291e+01
3.400000000000000355e+00 4.583017539671182305e+01
3.500000000000000000e+00 4.734205875729964674e+01
3.600000000000000089e+00 4.886475350110950444e+01
3.700000000000000178e+00 5.039804942353860895e+01
3.800000000000000266e+00 5.194168647692416130e+01
3.900000000000000355e+00 5.349535245450428533e+01
4.000000000000000000e+00 5.505868059377502988e+01
4.100000000000000533e+00 5.663124709975029702e+01
4.200000000000000178e+00 5.821256858930198774e+01
4.299999999999999822e+00 5.980209945847177977e+01
4.400000000000000355e+00 6.139922917540204139e+01
4.500000000000000000e+00 6.300327950232820484e+01
4.600000000000000533e+00 6.461350165090185271e+01
4.700000000000000178e+00 6.622907337597004584e+01
4.800000000000000711e+00 6.784909601381673383e+01
4.900000000000000355e+00 6.947259147176846739e+01
5.000000000000000000e+00 7.109849917697583521e+01
5.100000000000000533e+00 7.272567299309328348e+01
5.200000000000000178e+00 7.435287811449117612e+01
5.300000000000000711e+00 7.597878794853143347e+01
5.400000000000000355e+00 7.760198099731901777e+01
5.500000000000000000e+00 7.922093775119495263e+01
5.600000000000000533e+00 8.083403760705454033e+01
5.700000000000000178e+00 8.243955582534927373e+01
5.800000000000000711e+00 8.403566054035211152e+01
5.900000000000000355e+00 8.562040983892737245e+01
6.000000000000000000e+00 8.719174892363763263e+01
6.100000000000000533e+00 8.874750737653343435e+01
6.200000000000000178e+00 9.028539654039990126e+01
6.300000000000000711e+00 9.180300703456840949e+01
6.400000000000000355e+00 9.329780642263591517e+01
6.500000000000000000e+00 9.476713704956095796e+01
6.600000000000000533e+00 9.620821406561964295e+01
6.700000000000000178e+00 9.761812365460133378e+01
6.800000000000000711e+00 9.899382148339586251e+01
6.900000000000000355e+00 1.003321313897728970e+02
7.000000000000000000e+00 1.016297443246728847e+02
7.100000000000000533e+00 1.028832175647180520e+02
7.200000000000000178e+00 1.040889742099124220e+02
7.300000000000000711e+00 1.052433029806289397e+02
7.400000000000000355e+00 1.063423583269859876e+02
7.500000000000000000e+00 1.073821608625933095e+02
7.600000000000000533e+00 1.083585981334082788e+02
7.700000000000000178e+00 1.092674257310880819e+02
7.800000000000000711e+00 1.101042687587618047e+02
7.900000000000000355e+00 1.108646236555862146e+02
8.000000000000000000e+00 1.115438603847976111e+02
8.099999999999999645e+00 1.121372249882414849e+02
8.200000000000001066e+00 1.126398425085622250e+02
8.300000000000000711e+00 1.130467202783788281e+02
8.400000000000000355e+00 1.133527515738724389e+02
8.500000000000000000e+00 1.135527196282795330e+02
8.599999999999999645e+00 1.136413019988402908e+02
8.700000000000001066e+00 1.136130752788006504e+02
8.800000000000000711e+00 1.134625201441326112e+02
8.900000000000000355e+00 1.131840267227295982e+02
9.000000000000000000e+00 1.127719002719705372e+02
9.099999999999999645e+00 1.122203671487403227e+02
9.200000000000001066e+00 1.115235810542628627e+02
9.300000000000000711e+00 1.106756295344569025e+02
9.400000000000000355e+00 1.096705407149814704e+02
9.500000000000000000e+00 1.085022902487075527e+02
9.600000000000001421e+00 1.071648084520483337e+02
9.700000000000001066e+00 1.056519876054139075e+02
9.800000000000000711e+00 1.039576893920367553e+02
9.900000000000000355e+00 1.020757524485497214e+02
1.000000000000000000e+01 1.000000000000000000e+02
