t = 2.170000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.521620036767263207e-01
2.000000000000000111e-01 9.054072809731954496e-01
3.000000000000000444e-01 1.360814107828241859e+00
4.000000000000000222e-01 1.819450834093662595e+00
5.000000000000000000e-01 2.282371092074800600e+00
6.000000000000000888e-01 2.750609206536075213e+00
7.000000000000000666e-01 3.225175866086965382e+00
8.000000000000000444e-01 3.707054109959575072e+00
9.000000000000000222e-01 4.197195677169800909e+00
1.000000000000000000e+00 4.696517757139122118e+00
1.100000000000000089e+00 5.205900172284961158e+00
1.200000000000000178e+00 5.726183014120010739e+00
1.300000000000000044e+00 6.258164745294203968e+00
1.400000000000000133e+00 6.802600771020607340e+00
1.500000000000000000e+00 7.360202474687361551e+00
1.600000000000000089e+00 7.931636704387780235e+00
1.700000000000000178e+00 8.517525689786376475e+00
1.800000000000000044e+00 9.118447362332345207e+00
1.900000000000000133e+00 9.734936046447067781e+00
2.000000000000000000e+00 1.036748348502362660e+01
2.100000000000000089e+00 1.101654015941815601e+01
2.200000000000000178e+00 1.168251686208120432e+01
2.300000000000000266e+00 1.236578647903409944e+01
2.400000000000000355e+00 1.306668593946960399e+01
2.500000000000000000e+00 1.378551829075276736e+01
2.600000000000000089e+00 1.452255485889972952e+01
2.700000000000000178e+00 1.527803745708799710e+01
2.800000000000000266e+00 1.605218060776153877e+01
2.900000000000000355e+00 1.684517374729318817e+01
3.000000000000000000e+00 1.765718338581409697e+01
3.100000000000000089e+00 1.848835519857783538e+01
3.200000000000000178e+00 1.933881602896846275e+01
3.300000000000000266e+00 2.020867578687198929e+01
3.400000000000000355e+00 2.109802922950667536e+01
3.500000000000000000e+00 2.200695761486356261e+01
3.600000000000000089e+00 2.293553022057048807e+01
3.700000000000000178e+00 2.388380572320285111e+01
3.800000000000000266e+00 2.485183343477669737e+01
3.900000000000000355e+00 2.583965439433965727e+01
4.000000000000000000e+00 2.684730231319965199e+01
4.100000000000000533e+00 2.787480437238231445e+01
4.200000000000000178e+00 2.892218187037732946e+01
4.299999999999999822e+00 2.998945071811484198e+01
4.400000000000000355e+00 3.107662177640550993e+01
4.500000000000000000e+00 3.218370102878409966e+01
4.600000000000000533e+00 3.331068957982112266e+01
4.700000000000000178e+00 3.445758346552036500e+01
4.800000000000000711e+00 3.562437325841707292e+01
4.900000000000000355e+00 3.681104344545356355e+01
5.000000000000000000e+00 3.801757155166884417e+01
5.100000000000000533e+00 3.924392697724179158e+01
5.200000000000000178e+00 4.049006950953556583e+01
5.300000000000000711e+00 4.175594746558775228e+01
5.400000000000000355e+00 4.304149541408416013e+01
5.500000000000000000e+00 4.434663141938200681e+01
5.600000000000000533e+00 4.567125374377913971e+01
5.700000000000000178e+00 4.701523693816660199e+01
5.800000000000000711e+00 4.837842724569260611e+01
5.900000000000000355e+00 4.976063723838685604e+01
6.000000000000000000e+00 5.116163960316072945e+01
6.100000000000000533e+00 5.258115999155564424e+01
6.200000000000000178e+00 5.401886884743296235e+01
6.300000000000000711e+00 5.547437212887031421e+01
6.400000000000000355e+00 5.694720084524476533e+01
6.500000000000000000e+00 5.843679933822473060e+01
6.600000000000000533e+00 5.994251224651270604e+01
6.700000000000000178e+00 6.146357010898773865e+01
6.800000000000000711e+00 6.299907357962486287e+01
6.900000000000000355e+00 6.454797625036385966e+01
7.000000000000000000e+00 6.610906610499073111e+01
7.100000000000000533e+00 6.768094565797470352e+01
7.200000000000000178e+00 6.926201086680769947e+01
7.300000000000000711e+00 7.085042894428610794e+01
7.400000000000000355e+00 7.244411523773757722e+01
7.500000000000000000e+00 7.404070938462467666e+01
7.600000000000000533e+00 7.563755099726142817e+01
7.700000000000000178e+00 7.723165517240278177e+01
7.800000000000000711e+00 7.881968816289621316e+01
7.900000000000000355e+00 8.039794358699894872e+01
8.000000000000000000e+00 8.196231958485483915e+01
8.099999999999999645e+00 8.350829735946166466e+01
8.200000000000001066e+00 8.503092155973891408e+01
8.300000000000000711e+00 8.652478297461635748e+01
8.400000000000000355e+00 8.798400400814502120e+01
8.500000000000000000e+00 8.940222739545079378e+01
8.599999999999999645e+00 9.077260859715298125e+01
8.700000000000001066e+00 9.208781227523756741e+01
8.800000000000000711e+00 9.334001320627942277e+01
8.900000000000000355e+00 9.452090192873590979e+01
9.000000000000000000e+00 9.562169535060483838e+01
9.099999999999999645e+00 9.663315246331568176e+01
9.200000000000001066e+00 9.754559521897503771e+01
9.300000000000000711e+00 9.834893453307215339e+01
9.400000000000000355e+00 9.903270127584697491e+01
9.500000000000000000e+00 9.958608201535561477e+01
9.600000000000001421e+00 9.999795917663323053e+01
9.700000000000001066e+00 1.002569551870968922e+02
9.800000000000000711e+00 1.003514800912700053e+02
9.900000000000000355e+00 1.002697820407005054e+02
1.000000000000000000e+01 1.000000000000000000e+02
