t = 12.200000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.756520757625247953e+00
2.000000000000000111e-01 3.513329146005841785e+00
3.000000000000000444e-01 5.270711444680955537e+00
4.000000000000000222e-01 7.028951229375284271e+00
5.000000000000000000e-01 8.788328016641340668e+00
6.000000000000000888e-01 1.054911590437481728e+01
7.000000000000000666e-01 1.231158220685021831e+01
8.000000000000000444e-01 1.407598608294380504e+01
9.000000000000000222e-01 1.584257715623587615e+01
1.000000000000000000e+00 1.761159412571496219e+01
1.100000000000000089e+00 1.938326336584258769e+01
1.200000000000000178e+00 2.115779751477917259e+01
1.300000000000000044e+00 2.293539404961990513e+01
1.400000000000000133e+00 2.471623384754381547e+01
1.500000000000000000e+00 2.650047973184050321e+01
1.600000000000000089e+00 2.828827500184739918e+01
1.700000000000000178e+00 3.007974194590572381e+01
1.800000000000000044e+00 3.187498033652675389e+01
1.900000000000000133e+00 3.367406590705063252e+01
2.000000000000000000e+00 3.547704880917955705e+01
2.100000000000000089e+00 3.728395205087455366e+01
2.200000000000000178e+00 3.909476991422111780e+01
2.300000000000000266e+00 4.090946635299425083e+01
2.400000000000000355e+00 4.272797336978704408e+01
2.500000000000000000e+00 4.455018937270990165e+01
2.600000000000000089e+00 4.637597751181934314e+01
2.700000000000000178e+00 4.820516399559627274e+01
2.800000000000000266e+00 5.003753638796327863e+01
2.900000000000000355e+00 5.187284188650870220e+01
3.000000000000000000e+00 5.371078558277236681e+01
3.100000000000000089e+00 5.555102870564237350e+01
3.200000000000000178e+00 5.739318684911518176e+01
3.300000000000000266e+00 5.923682818588088139e+01
3.400000000000000355e+00 6.108147166841138898e+01
3.500000000000000000e+00 6.292658521945163130e+01
3.600000000000000089e+00 6.477158391404041993e+01
3.700000000000000178e+00 6.661582815541935076e+01
3.800000000000000266e+00 6.845862184742213685e+01
3.900000000000000355e+00 7.029921056617270381e+01
4.000000000000000000e+00 7.213677973415840938e+01
4.100000000000000533e+00 7.397045279998116030e+01
4.200000000000000178e+00 7.579928942732489361e+01
4.299999999999999822e+00 7.762228369691014507e+01
4.400000000000000355e+00 7.943836232543402787e+01
4.500000000000000000e+00 8.124638290571628829e+01
4.600000000000000533e+00 8.304513217248627654e+01
4.700000000000000178e+00 8.483332429845066258e+01
4.800000000000000711e+00 8.660959922547689871e+01
4.900000000000000355e+00 8.837252103590867591e+01
5.000000000000000000e+00 9.012057636919858794e+01
5.100000000000000533e+00 9.185217288919500334e+01
5.200000000000000178e+00 9.356563780755556081e+01
5.300000000000000711e+00 9.525921646887599081e+01
5.400000000000000355e+00 9.693107100321863356e+01
5.500000000000000000e+00 9.857927905179926142e+01
5.600000000000000533e+00 1.002018325716409919e+02
5.700000000000000178e+00 1.017966367250307798e+02
5.800000000000000711e+00 1.033615088596135365e+02
5.900000000000000355e+00 1.048941775849322084e+02
6.000000000000000000e+00 1.063922819511682007e+02
6.100000000000000533e+00 1.078533707357515397e+02
6.200000000000000178e+00 1.092749018433988937e+02
6.300000000000000711e+00 1.106542418249934485e+02
6.400000000000000355e+00 1.119886655205472863e+02
6.500000000000000000e+00 1.132753558312839886e+02
6.600000000000000533e+00 1.145114036256434531e+02
6.700000000000000178e+00 1.156938077837470757e+02
6.800000000000000711e+00 1.168194753845660045e+02
6.900000000000000355e+00 1.178852220397113086e+02
7.000000000000000000e+00 1.188877723774122757e+02
7.100000000000000533e+00 1.198237606798681298e+02
7.200000000000000178e+00 1.206897316767526149e+02
7.300000000000000711e+00 1.214821414972182794e+02
7.400000000000000355e+00 1.221973587822929659e+02
7.500000000000000000e+00 1.228316659590838924e+02
7.600000000000000533e+00 1.233812606777084540e+02
7.700000000000000178e+00 1.238422574113573802e+02
7.800000000000000711e+00 1.242106892193664862e+02
7.900000000000000355e+00 1.244825096726318634e+02
8.000000000000000000e+00 1.246535949401511232e+02
8.099999999999999645e+00 1.247197460349143228e+02
8.200000000000001066e+00 1.246766912168038459e+02
8.300000000000000711e+00 1.245200885495968919e+02
8.400000000000000355e+00 1.242455286085993578e+02
8.500000000000000000e+00 1.238485373348800351e+02
8.599999999999999645e+00 1.233245790315197610e+02
8.700000000000001066e+00 1.226690594967481758e+02
8.800000000000000711e+00 1.218773292883101504e+02
8.900000000000000355e+00 1.209446871128905769e+02
9.000000000000000000e+00 1.198663833339320917e+02
9.099999999999999645e+00 1.186376235907070509e+02
9.200000000000001066e+00 1.172535725210575919e+02
9.300000000000000711e+00 1.157093575797973557e+02
9.400000000000000355e+00 1.140000729443767824e+02
9.500000000000000000e+00 1.121207834990562162e+02
9.600000000000001421e+00 1.100665288885057009e+02
9.700000000000001066e+00 1.078323276314624479e+02
9.800000000000000711e+00 1.054131812848257255e+02
9.900000000000000355e+00 1.028040786483594076e+02
1.000000000000000000e+01 1.000000000000000000e+02
