t = 2.390000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.857861622553409364e-01
2.000000000000000111e-01 9.726045377556009619e-01
3.000000000000000444e-01 1.461483016421451175e+00
4.000000000000000222e-01 1.953440895922389231e+00
5.000000000000000000e-01 2.449484720402043791e+00
6.000000000000000888e-01 2.950604277859406821e+00
7.000000000000000666e-01 3.457768803895625798e+00
8.000000000000000444e-01 3.971923435294969718e+00
9.000000000000000222e-01 4.493985951842536686e+00
1.000000000000000000e+00 5.024843839034176973e+00
1.100000000000000089e+00 5.565351698066118402e+00
1.200000000000000178e+00 6.116329022873918220e+00
1.300000000000000044e+00 6.678558357198307149e+00
1.400000000000000133e+00 7.252783837863660210e+00
1.500000000000000000e+00 7.839710123830506028e+00
1.600000000000000089e+00 8.440001704281886674e+00
1.700000000000000178e+00 9.054282573162470982e+00
1.800000000000000044e+00 9.683136252327157578e+00
1.900000000000000133e+00 1.032710614086600387e+01
2.000000000000000000e+00 1.098669616432456841e+01
2.100000000000000089e+00 1.166237169447544808e+01
2.200000000000000178e+00 1.235456070803550510e+01
2.300000000000000266e+00 1.306365515125678733e+01
2.400000000000000355e+00 1.379001247661677176e+01
2.500000000000000000e+00 1.453395731784549660e+01
2.600000000000000089e+00 1.529578327018514372e+01
2.700000000000000178e+00 1.607575474400074711e+01
2.800000000000000266e+00 1.687410886155699785e+01
2.900000000000000355e+00 1.769105736884646518e+01
3.000000000000000000e+00 1.852678853669801029e+01
3.100000000000000089e+00 1.938146902790702342e+01
3.200000000000000178e+00 2.025524570971235150e+01
3.300000000000000266e+00 2.114824739350249772e+01
3.400000000000000355e+00 2.206058648607675821e+01
3.500000000000000000e+00 2.299236053903513266e+01
3.600000000000000089e+00 2.394365368485132706e+01
3.700000000000000178e+00 2.491453794983261361e+01
3.800000000000000266e+00 2.590507443543618038e+01
3.900000000000000355e+00 2.691531436024796520e+01
4.000000000000000000e+00 2.794529995530322708e+01
4.100000000000000533e+00 2.899506520530969667e+01
4.200000000000000178e+00 3.006463642770710365e+01
4.299999999999999822e+00 3.115403268034917161e+01
4.400000000000000355e+00 3.226326598692438097e+01
4.500000000000000000e+00 3.339234136704474309e+01
4.600000000000000533e+00 3.454125665524167488e+01
4.700000000000000178e+00 3.571000208993891789e+01
4.800000000000000711e+00 3.689855964985813586e+01
4.900000000000000355e+00 3.810690211130010141e+01
5.000000000000000000e+00 3.933499179539438728e+01
5.100000000000000533e+00 4.058277896979790711e+01
5.200000000000000178e+00 4.185019986454441465e+01
5.300000000000000711e+00 4.313717425691500296e+01
5.400000000000000355e+00 4.444360257545064030e+01
5.500000000000000000e+00 4.576936246871988345e+01
5.600000000000000533e+00 4.711430478036997016e+01
5.700000000000000178e+00 4.847824886853148740e+01
5.800000000000000711e+00 4.986097720504224640e+01
5.900000000000000355e+00 5.126222918844919008e+01
6.000000000000000000e+00 5.268169410459839952e+01
6.100000000000000533e+00 5.411900317009929751e+01
6.200000000000000178e+00 5.557372059732135483e+01
6.300000000000000711e+00 5.704533362510999694e+01
6.400000000000000355e+00 5.853324146733837807e+01
6.500000000000000000e+00 6.003674314195452411e+01
6.600000000000000533e+00 6.155502415650953196e+01
6.700000000000000178e+00 6.308714204237356427e+01
6.800000000000000711e+00 6.463201074900193532e+01
6.900000000000000355e+00 6.618838393165995626e+01
7.000000000000000000e+00 6.775483719080882850e+01
7.100000000000000533e+00 6.932974934864570571e+01
7.200000000000000178e+00 7.091128287771279304e+01
7.300000000000000711e+00 7.249736362755594143e+01
7.400000000000000355e+00 7.408566002751490487e+01
7.500000000000000000e+00 7.567356197614384428e+01
7.600000000000000533e+00 7.725815965966195620e+01
7.700000000000000178e+00 7.883622257230167918e+01
7.800000000000000711e+00 8.040417903946885758e+01
7.900000000000000355e+00 8.195809656922591557e+01
8.000000000000000000e+00 8.349366337771387236e+01
8.099999999999999645e+00 8.500617144872890663e+01
8.200000000000001066e+00 8.649050149581090352e+01
8.300000000000000711e+00 8.794111019603646184e+01
8.400000000000000355e+00 8.935202005753554033e+01
8.500000000000000000e+00 9.071681226704320977e+01
8.599999999999999645e+00 9.202862283925426823e+01
8.700000000000001066e+00 9.328014235630425333e+01
8.800000000000000711e+00 9.446361954356538604e+01
8.900000000000000355e+00 9.557086887760603133e+01
9.000000000000000000e+00 9.659328236438629744e+01
9.099999999999999645e+00 9.752184556159717488e+01
9.200000000000001066e+00 9.834715784979429998e+01
9.300000000000000711e+00 9.905945688415631878e+01
9.400000000000000355e+00 9.964864708402207327e+01
9.500000000000000000e+00 1.001043319426730704e+02
9.600000000000001421e+00 1.004158498670504258e+02
9.700000000000001066e+00 1.005723131881606491e+02
9.800000000000000711e+00 1.005626499197163355e+02
9.900000000000000355e+00 1.003756477868383428e+02
1.000000000000000000e+01 1.000000000000000000e+02
