t = 57.300000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.043439180519835752e+00
2.000000000000000111e-01 8.085164081795648272e+00
3.000000000000000444e-01 1.212346014277260053e+01
4.000000000000000222e-01 1.615661223905168953e+01
5.000000000000000000e-01 2.018290440191110235e+01
6.000000000000000888e-01 2.420061953815891442e+01
7.000000000000000666e-01 2.820803915109294024e+01
8.000000000000000444e-01 3.220344306284265201e+01
9.000000000000000222e-01 3.618510913836635012e+01
1.000000000000000000e+00 4.015131301137564890e+01
1.100000000000000089e+00 4.410032781245695332e+01
1.200000000000000178e+00 4.803042389965782633e+01
1.300000000000000044e+00 5.193986859180358096e+01
1.400000000000000133e+00 5.582692590480682782e+01
1.500000000000000000e+00 5.968985629122945369e+01
1.600000000000000089e+00 6.352691638335410573e+01
1.700000000000000178e+00 6.733635874001771526e+01
1.800000000000000044e+00 7.111643159745719345e+01
1.900000000000000133e+00 7.486537862441213065e+01
2.000000000000000000e+00 7.858143868172638236e+01
2.100000000000000089e+00 8.226284558668525904e+01
2.200000000000000178e+00 8.590782788232061762e+01
2.300000000000000266e+00 8.951460861191149831e+01
2.400000000000000355e+00 9.308140509890257874e+01
2.500000000000000000e+00 9.660642873245728879e+01
2.600000000000000089e+00 1.000878847588573421e+02
2.700000000000000178e+00 1.035239720789544862e+02
2.800000000000000266e+00 1.069128830518744877e+02
2.900000000000000355e+00 1.102528033051665659e+02
3.000000000000000000e+00 1.135419115515863950e+02
3.100000000000000089e+00 1.167783794126928143e+02
3.200000000000000178e+00 1.199603712494331091e+02
3.300000000000000266e+00 1.230860439998841827e+02
3.400000000000000355e+00 1.261535470243095176e+02
3.500000000000000000e+00 1.291610219576856480e+02
3.600000000000000089e+00 1.321066025698431474e+02
3.700000000000000178e+00 1.349884146333616002e+02
3.800000000000000266e+00 1.378045757993485267e+02
3.900000000000000355e+00 1.405531954812252593e+02
4.000000000000000000e+00 1.432323747466352870e+02
4.100000000000000533e+00 1.458402062175815672e+02
4.200000000000000178e+00 1.483747739788926481e+02
4.299999999999999822e+00 1.508341534951078131e+02
4.400000000000000355e+00 1.532164115358639833e+02
4.500000000000000000e+00 1.555196061098584153e+02
4.600000000000000533e+00 1.577417864074533611e+02
4.700000000000000178e+00 1.598809927519793916e+02
4.800000000000000711e+00 1.619352565597865521e+02
4.900000000000000355e+00 1.639026003090827430e+02
5.000000000000000000e+00 1.657810375175914146e+02
5.100000000000000533e+00 1.675685727290507145e+02
5.200000000000000178e+00 1.692632015085682724e+02
5.300000000000000711e+00 1.708629104468368780e+02
5.400000000000000355e+00 1.723656771732074446e+02
5.500000000000000000e+00 1.737694703776067797e+02
5.600000000000000533e+00 1.750722498412798132e+02
5.700000000000000178e+00 1.762719664763257867e+02
5.800000000000000711e+00 1.773665623739903765e+02
5.900000000000000355e+00 1.783539708616670225e+02
6.000000000000000000e+00 1.792321165685507367e+02
6.100000000000000533e+00 1.799989154998816616e+02
6.200000000000000178e+00 1.806522751197042851e+02
6.300000000000000711e+00 1.811900944420619624e+02
6.400000000000000355e+00 1.816102641305368479e+02
6.500000000000000000e+00 1.819106666060380917e+02
6.600000000000000533e+00 1.820891761627312349e+02
6.700000000000000178e+00 1.821436590919963123e+02
6.800000000000000711e+00 1.820719738142912831e+02
6.900000000000000355e+00 1.818719710187919816e+02
7.000000000000000000e+00 1.815414938106707439e+02
7.100000000000000533e+00 1.810783778658685605e+02
7.200000000000000178e+00 1.804804515932085849e+02
7.300000000000000711e+00 1.797455363036909830e+02
7.400000000000000355e+00 1.788714463868020914e+02
7.500000000000000000e+00 1.778559894936646231e+02
7.600000000000000533e+00 1.766969667268472222e+02
7.700000000000000178e+00 1.753921728366476884e+02
7.800000000000000711e+00 1.739393964236542161e+02
7.900000000000000355e+00 1.723364201473865478e+02
8.000000000000000000e+00 1.705810209408099070e+02
8.099999999999999645e+00 1.686709702305104486e+02
8.200000000000001066e+00 1.666040341623144059e+02
8.300000000000000711e+00 1.643779738321288733e+02
8.400000000000000355e+00 1.619905455217748056e+02
8.500000000000000000e+00 1.594395009395809097e+02
8.599999999999999645e+00 1.567225874654996289e+02
8.700000000000001066e+00 1.538375484005030387e+02
8.800000000000000711e+00 1.507821232200127497e+02
8.900000000000000355e+00 1.475540478311125696e+02
9.000000000000000000e+00 1.441510548332904307e+02
9.099999999999999645e+00 1.405708737824512014e+02
9.200000000000001066e+00 1.368112314579398117e+02
9.300000000000000711e+00 1.328698521323103705e+02
9.400000000000000355e+00 1.287444578435743381e+02
9.500000000000000000e+00 1.244327686696591400e+02
9.600000000000001421e+00 1.199325030048054543e+02
9.700000000000001066e+00 1.152413778376298836e+02
9.800000000000000711e+00 1.103571090305772486e+02
9.900000000000000355e+00 1.052774116004877385e+02
1.000000000000000000e+01 1.000000000000000000e+02
