t = 8.590000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.324573646020116069e+00
2.000000000000000111e-01 2.649655893493400249e+00
3.000000000000000444e-01 3.975754268491374699e+00
4.000000000000000222e-01 5.303374145240755233e+00
5.000000000000000000e-01 6.633017667481357016e+00
6.000000000000000888e-01 7.965182666516091636e+00
7.000000000000000666e-01 9.300361574777394225e+00
8.000000000000000444e-01 1.063904033367322910e+01
9.000000000000000222e-01 1.198169729440114928e+01
1.000000000000000000e+00 1.332880211033196360e+01
1.100000000000000089e+00 1.468081461946673016e+01
1.200000000000000178e+00 1.603818371536354093e+01
1.300000000000000044e+00 1.740134620481602568e+01
1.400000000000000133e+00 1.877072565044520758e+01
1.500000000000000000e+00 2.014673119624291786e+01
1.600000000000000089e+00 2.152975637398044029e+01
1.700000000000000178e+00 2.292017788827265434e+01
1.800000000000000044e+00 2.431835437796894084e+01
1.900000000000000133e+00 2.572462515142924033e+01
2.000000000000000000e+00 2.713930889314013584e+01
2.100000000000000089e+00 2.856270233903482136e+01
2.200000000000000178e+00 2.999507891780362812e+01
2.300000000000000266e+00 3.143668735542341608e+01
2.400000000000000355e+00 3.288775024009483872e+01
2.500000000000000000e+00 3.434846254476128991e+01
2.600000000000000089e+00 3.581899010439294528e+01
2.700000000000000178e+00 3.729946804525748405e+01
2.800000000000000266e+00 3.878999916346779031e+01
2.900000000000000355e+00 4.029065225019754592e+01
3.000000000000000000e+00 4.180146036109184138e+01
3.100000000000000089e+00 4.332241902757179730e+01
3.200000000000000178e+00 4.485348440794233227e+01
3.300000000000000266e+00 4.639457137646125773e+01
3.400000000000000355e+00 4.794555154881700787e+01
3.500000000000000000e+00 4.950625124279199696e+01
3.600000000000000089e+00 5.107644937325922285e+01
3.700000000000000178e+00 5.265587528107095494e+01
3.800000000000000266e+00 5.424420649585027832e+01
3.900000000000000355e+00 5.584106643318606444e+01
4.000000000000000000e+00 5.744602202726151319e+01
4.100000000000000533e+00 5.905858130051034749e+01
4.200000000000000178e+00 6.067819087249417009e+01
4.299999999999999822e+00 6.230423341082343569e+01
4.400000000000000355e+00 6.393602502760302286e+01
4.500000000000000000e+00 6.557281262556553258e+01
4.600000000000000533e+00 6.721377119875897677e+01
4.700000000000000178e+00 6.885800109337404251e+01
4.800000000000000711e+00 7.050452523502781332e+01
4.900000000000000355e+00 7.215228632955691523e+01
5.000000000000000000e+00 7.380014404511196346e+01
5.100000000000000533e+00 7.544687218407700868e+01
5.200000000000000178e+00 7.709115585406028970e+01
5.300000000000000711e+00 7.873158864790687517e+01
5.400000000000000355e+00 8.036666984336419262e+01
5.500000000000000000e+00 8.199480163368193075e+01
5.600000000000000533e+00 8.361428640104094256e+01
5.700000000000000178e+00 8.522332404527470828e+01
5.800000000000000711e+00 8.682000938086613928e+01
5.900000000000000355e+00 8.840232961566344727e+01
6.000000000000000000e+00 8.996816192515819921e+01
6.100000000000000533e+00 9.151527113649574119e+01
6.200000000000000178e+00 9.304130753664283304e+01
6.300000000000000711e+00 9.454380481930900260e+01
6.400000000000000355e+00 9.602017818530393356e+01
6.500000000000000000e+00 9.746772261101038737e+01
6.600000000000000533e+00 9.888361129955252693e+01
6.700000000000000178e+00 1.002648943290445374e+02
6.800000000000000711e+00 1.016084975120070482e+02
6.900000000000000355e+00 1.029112214796411422e+02
7.000000000000000000e+00 1.041697410041477383e+02
7.100000000000000533e+00 1.053806045716751640e+02
7.200000000000000178e+00 1.065402342177695800e+02
7.300000000000000711e+00 1.076449256363937934e+02
7.400000000000000355e+00 1.086908485726712712e+02
7.500000000000000000e+00 1.096740475085091191e+02
7.600000000000000533e+00 1.105904426491566142e+02
7.700000000000000178e+00 1.114358312175769186e+02
7.800000000000000711e+00 1.122058890622445517e+02
7.900000000000000355e+00 1.128961725826478926e+02
8.000000000000000000e+00 1.135021209753731597e+02
8.099999999999999645e+00 1.140190588021882547e+02
8.200000000000001066e+00 1.144421988800369405e+02
8.300000000000000711e+00 1.147666454913084380e+02
8.400000000000000355e+00 1.149873979111725788e+02
8.500000000000000000e+00 1.150993542471783542e+02
8.599999999999999645e+00 1.150973155847166964e+02
8.700000000000001066e+00 1.149759904303523257e+02
8.800000000000000711e+00 1.147299994434537780e+02
8.900000000000000355e+00 1.143538804450015789e+02
9.000000000000000000e+00 1.138420936909432868e+02
9.099999999999999645e+00 1.131890273960076883e+02
9.200000000000001066e+00 1.123890034924938988e+02
9.300000000000000711e+00 1.114362836072277219e+02
9.400000000000000355e+00 1.103250752386393714e+02
9.500000000000000000e+00 1.090495381147708542e+02
9.600000000000001421e+00 1.076037907119778936e+02
9.700000000000001066e+00 1.059819169131604326e+02
9.800000000000000711e+00 1.041779727835409659e+02
9.900000000000000355e+00 1.021859934413224948e+02
1.000000000000000000e+01 1.000000000000000000e+02
