t = 0.000000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.000000000000000194e-02
2.000000000000000111e-01 4.000000000000000777e-02
3.000000000000000444e-01 9.000000000000002442e-02
4.000000000000000222e-01 1.600000000000000311e-01
5.000000000000000000e-01 2.500000000000000000e-01
6.000000000000000888e-01 3.600000000000000977e-01
7.000000000000000666e-01 4.900000000000001021e-01
8.000000000000000444e-01 6.400000000000001243e-01
9.000000000000000222e-01 8.100000000000000533e-01
1.000000000000000000e+00 1.000000000000000000e+00
1.100000000000000089e+00 1.210000000000000187e+00
1.200000000000000178e+00 1.440000000000000391e+00
1.300000000000000044e+00 1.690000000000000169e+00
1.400000000000000133e+00 1.960000000000000409e+00
1.500000000000000000e+00 2.250000000000000000e+00
1.600000000000000089e+00 2.560000000000000497e+00
1.700000000000000178e+00 2.890000000000000568e+00
1.800000000000000044e+00 3.240000000000000213e+00
1.900000000000000133e+00 3.610000000000000320e+00
2.000000000000000000e+00 4.000000000000000000e+00
2.100000000000000089e+00 4.410000000000000142e+00
2.200000000000000178e+00 4.840000000000000746e+00
2.300000000000000266e+00 5.290000000000000924e+00
2.400000000000000355e+00 5.760000000000001563e+00
2.500000000000000000e+00 6.250000000000000000e+00
2.600000000000000089e+00 6.760000000000000675e+00
2.700000000000000178e+00 7.290000000000000924e+00
2.800000000000000266e+00 7.840000000000001634e+00
2.900000000000000355e+00 8.410000000000001918e+00
3.000000000000000000e+00 9.000000000000000000e+00
3.100000000000000089e+00 9.610000000000001208e+00
3.200000000000000178e+00 1.024000000000000199e+01
3.300000000000000266e+00 1.089000000000000234e+01
3.400000000000000355e+00 1.156000000000000227e+01
3.500000000000000000e+00 1.225000000000000000e+01
3.600000000000000089e+00 1.296000000000000085e+01
3.700000000000000178e+00 1.369000000000000128e+01
3.800000000000000266e+00 1.444000000000000128e+01
3.900000000000000355e+00 1.521000000000000263e+01
4.000000000000000000e+00 1.600000000000000000e+01
4.100000000000000533e+00 1.681000000000000583e+01
4.200000000000000178e+00 1.764000000000000057e+01
4.299999999999999822e+00 1.848999999999999844e+01
4.400000000000000355e+00 1.936000000000000298e+01
4.500000000000000000e+00 2.025000000000000000e+01
4.600000000000000533e+00 2.116000000000000369e+01
4.700000000000000178e+00 2.209000000000000341e+01
4.800000000000000711e+00 2.304000000000000625e+01
4.900000000000000355e+00 2.401000000000000512e+01
5.000000000000000000e+00 2.500000000000000000e+01
5.100000000000000533e+00 2.601000000000000512e+01
5.200000000000000178e+00 2.704000000000000270e+01
5.300000000000000711e+00 2.809000000000000696e+01
5.400000000000000355e+00 2.916000000000000369e+01
5.500000000000000000e+00 3.025000000000000000e+01
5.600000000000000533e+00 3.136000000000000654e+01
5.700000000000000178e+00 3.249000000000000199e+01
5.800000000000000711e+00 3.364000000000000767e+01
5.900000000000000355e+00 3.481000000000000227e+01
6.000000000000000000e+00 3.600000000000000000e+01
6.100000000000000533e+00 3.721000000000000796e+01
6.200000000000000178e+00 3.844000000000000483e+01
6.300000000000000711e+00 3.969000000000001194e+01
6.400000000000000355e+00 4.096000000000000796e+01
6.500000000000000000e+00 4.225000000000000000e+01
6.600000000000000533e+00 4.356000000000000938e+01
6.700000000000000178e+00 4.489000000000000057e+01
6.800000000000000711e+00 4.624000000000000909e+01
6.900000000000000355e+00 4.761000000000000654e+01
7.000000000000000000e+00 4.900000000000000000e+01
7.100000000000000533e+00 5.041000000000001080e+01
7.200000000000000178e+00 5.184000000000000341e+01
7.300000000000000711e+00 5.329000000000001336e+01
7.400000000000000355e+00 5.476000000000000512e+01
7.500000000000000000e+00 5.625000000000000000e+01
7.600000000000000533e+00 5.776000000000000512e+01
7.700000000000000178e+00 5.929000000000000625e+01
7.800000000000000711e+00 6.084000000000001052e+01
7.900000000000000355e+00 6.241000000000000369e+01
8.000000000000000000e+00 6.400000000000000000e+01
8.099999999999999645e+00 6.560999999999999943e+01
8.200000000000001066e+00 6.724000000000002331e+01
8.300000000000000711e+00 6.889000000000001478e+01
8.400000000000000355e+00 7.056000000000000227e+01
8.500000000000000000e+00 7.225000000000000000e+01
8.599999999999999645e+00 7.395999999999999375e+01
8.700000000000001066e+00 7.569000000000001194e+01
8.800000000000000711e+00 7.744000000000001194e+01
8.900000000000000355e+00 7.921000000000000796e+01
9.000000000000000000e+00 8.100000000000000000e+01
9.099999999999999645e+00 8.280999999999998806e+01
9.200000000000001066e+00 8.464000000000001478e+01
9.300000000000000711e+00 8.649000000000000909e+01
9.400000000000000355e+00 8.836000000000001364e+01
9.500000000000000000e+00 9.025000000000000000e+01
9.600000000000001421e+00 9.216000000000002501e+01
9.700000000000001066e+00 9.409000000000001762e+01
9.800000000000000711e+00 9.604000000000002046e+01
9.900000000000000355e+00 9.801000000000000512e+01
1.000000000000000000e+01 1.000000000000000000e+02
