t = 2.800000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 5.471028917137187308e-01
2.000000000000000111e-01 1.095159434703706358e+00
3.000000000000000444e-01 1.645119871293818870e+00
4.000000000000000222e-01 2.197927662495934964e+00
5.000000000000000000e-01 2.754516188179877645e+00
6.000000000000000888e-01 3.315805554413496115e+00
7.000000000000000666e-01 3.882699540710118580e+00
8.000000000000000444e-01 4.456082717456879116e+00
9.000000000000000222e-01 5.036817760833800506e+00
1.000000000000000000e+00 5.625742989142043626e+00
1.100000000000000089e+00 6.223670140721254462e+00
1.200000000000000178e+00 6.831382409638027120e+00
1.300000000000000044e+00 7.449632751161863631e+00
1.400000000000000133e+00 8.079142464803947377e+00
1.500000000000000000e+00 8.720600058469102578e+00
1.600000000000000089e+00 9.374660393149168769e+00
1.700000000000000178e+00 1.004194410364736179e+01
1.800000000000000044e+00 1.072303728714020643e+01
1.900000000000000133e+00 1.141849144801755678e+01
2.000000000000000000e+00 1.212882368444291714e+01
2.100000000000000089e+00 1.285451709948281263e+01
2.200000000000000178e+00 1.359602141749009796e+01
2.300000000000000266e+00 1.435375378470369689e+01
2.400000000000000355e+00 1.512809973174445766e+01
2.500000000000000000e+00 1.591941427483094529e+01
2.600000000000000089e+00 1.672802313208489267e+01
2.700000000000000178e+00 1.755422403120982722e+01
2.800000000000000266e+00 1.839828808506501545e+01
2.900000000000000355e+00 1.926046121217004625e+01
3.000000000000000000e+00 2.014096557990907499e+01
3.100000000000000089e+00 2.104000104909812663e+01
3.200000000000000178e+00 2.195774659957409725e+01
3.300000000000000266e+00 2.289436171749882831e+01
3.400000000000000355e+00 2.384998772608550865e+01
3.500000000000000000e+00 2.482474904239104418e+01
3.600000000000000089e+00 2.581875434362232014e+01
3.700000000000000178e+00 2.683209762702763612e+01
3.800000000000000266e+00 2.786485914784430307e+01
3.900000000000000355e+00 2.891710621991146368e+01
4.000000000000000000e+00 2.998889386340665197e+01
4.100000000000000533e+00 3.108026528370221442e+01
4.200000000000000178e+00 3.219125216455331184e+01
4.299999999999999822e+00 3.332187475771846152e+01
4.400000000000000355e+00 3.447214174968514300e+01
4.500000000000000000e+00 3.564204988444458877e+01
4.600000000000000533e+00 3.683158331926021845e+01
4.700000000000000178e+00 3.804071268814523421e+01
4.800000000000000711e+00 3.926939384535956634e+01
4.900000000000000355e+00 4.051756625872033624e+01
5.000000000000000000e+00 4.178515101997287218e+01
5.100000000000000533e+00 4.307204843698163188e+01
5.200000000000000178e+00 4.437813517017801956e+01
5.300000000000000711e+00 4.570326087365966572e+01
5.400000000000000355e+00 4.704724429970252686e+01
5.500000000000000000e+00 4.840986882435903027e+01
5.600000000000000533e+00 4.979087735141704485e+01
5.700000000000000178e+00 5.118996655243697091e+01
5.800000000000000711e+00 5.260678040201575811e+01
5.900000000000000355e+00 5.404090296999883236e+01
6.000000000000000000e+00 5.549185043621428548e+01
6.100000000000000533e+00 5.695906229856743863e+01
6.200000000000000178e+00 5.844189175212180487e+01
6.300000000000000711e+00 5.993959522518988337e+01
6.400000000000000355e+00 6.145132106852487652e+01
6.500000000000000000e+00 6.297609740546178614e+01
6.600000000000000533e+00 6.451281916428258967e+01
6.700000000000000178e+00 6.606023432910792792e+01
6.800000000000000711e+00 6.761692946212153288e+01
6.900000000000000355e+00 6.918131456773885191e+01
7.000000000000000000e+00 7.075160738819688788e+01
7.100000000000000533e+00 7.232581723967406617e+01
7.200000000000000178e+00 7.390172851808921450e+01
7.300000000000000711e+00 7.547688402376994077e+01
7.400000000000000355e+00 7.704856827376093520e+01
7.500000000000000000e+00 7.861379098916494002e+01
7.600000000000000533e+00 8.016927096204008762e+01
7.700000000000000178e+00 8.171142052147024515e+01
7.800000000000000711e+00 8.323633083092595086e+01
7.900000000000000355e+00 8.473975825840628318e+01
8.000000000000000000e+00 8.621711206658378046e+01
8.099999999999999645e+00 8.766344367180967367e+01
8.200000000000001066e+00 8.907343771797631859e+01
8.300000000000000711e+00 9.044140520357348123e+01
8.400000000000000355e+00 9.176127888760086648e+01
8.500000000000000000e+00 9.302661118221975300e+01
8.599999999999999645e+00 9.423057471717241640e+01
8.700000000000001066e+00 9.536596573323325288e+01
8.800000000000000711e+00 9.642521042958425426e+01
8.900000000000000355e+00 9.740037435347342409e+01
9.000000000000000000e+00 9.828317488038774741e+01
9.099999999999999645e+00 9.906499678995649560e+01
9.200000000000001066e+00 9.973691089769941698e+01
9.300000000000000711e+00 1.002896956564492541e+02
9.400000000000000355e+00 1.007138615947755795e+02
9.500000000000000000e+00 1.009996784140291055e+02
9.600000000000001421e+00 1.011372045217376581e+02
9.700000000000001066e+00 1.011163187380303583e+02
9.800000000000000711e+00 1.009267538745104815e+02
9.900000000000000355e+00 1.005581318524367305e+02
1.000000000000000000e+01 1.000000000000000000e+02
