t = 82.500000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 4.249253181403199520e+00
2.000000000000000111e-01 8.496589010509776330e+00
3.000000000000000444e-01 1.274009005346097823e+01
4.000000000000000222e-01 1.697783871335424877e+01
5.000000000000000000e-01 2.120791714892249757e+01
6.000000000000000888e-01 2.542840719345448264e+01
7.000000000000000666e-01 2.963739027403633841e+01
8.000000000000000444e-01 3.383294733119400632e+01
9.000000000000000222e-01 3.801315873901574349e+01
1.000000000000000000e+00 4.217610422583365448e+01
1.100000000000000089e+00 4.631986279554246266e+01
1.200000000000000178e+00 5.044251264963316572e+01
1.300000000000000044e+00 5.454213111001850933e+01
1.400000000000000133e+00 5.861679454272655931e+01
1.500000000000000000e+00 6.266457828253734164e+01
1.600000000000000089e+00 6.668355655863739173e+01
1.700000000000000178e+00 7.067180242136510060e+01
1.800000000000000044e+00 7.462738767011968832e+01
1.900000000000000133e+00 7.854838278250431927e+01
2.000000000000000000e+00 8.243285684477376662e+01
2.100000000000000089e+00 8.627887748365516529e+01
2.200000000000000178e+00 9.008451079960879326e+01
2.300000000000000266e+00 9.384782130159547364e+01
2.400000000000000355e+00 9.756687184341414820e+01
2.500000000000000000e+00 1.012397235616729887e+02
2.600000000000000089e+00 1.048644358154549963e+02
2.700000000000000178e+00 1.084390661277377603e+02
2.800000000000000266e+00 1.119616701286253289e+02
2.900000000000000355e+00 1.154303015004477686e+02
3.000000000000000000e+00 1.188430119247831556e+02
3.100000000000000089e+00 1.221978510314537232e+02
3.200000000000000178e+00 1.254928663495467873e+02
3.300000000000000266e+00 1.287261032605090634e+02
3.400000000000000355e+00 1.318956049533601060e+02
3.500000000000000000e+00 1.349994123820696927e+02
3.600000000000000089e+00 1.380355642251401491e+02
3.700000000000000178e+00 1.410020968474348706e+02
3.800000000000000266e+00 1.438970442642900025e+02
3.900000000000000355e+00 1.467184381079445643e+02
4.000000000000000000e+00 1.494643075963224419e+02
4.100000000000000533e+00 1.521326795041968580e+02
4.200000000000000178e+00 1.547215781367659417e+02
4.299999999999999822e+00 1.572290253056657434e+02
4.400000000000000355e+00 1.596530403074435185e+02
4.500000000000000000e+00 1.619916399045133915e+02
4.600000000000000533e+00 1.642428383086127894e+02
4.700000000000000178e+00 1.664046471667761864e+02
4.800000000000000711e+00 1.684750755498396586e+02
4.900000000000000355e+00 1.704521299434878756e+02
5.000000000000000000e+00 1.723338142418524797e+02
5.100000000000000533e+00 1.741181297436679074e+02
5.200000000000000178e+00 1.758030751509882919e+02
5.300000000000000711e+00 1.773866465704675477e+02
5.400000000000000355e+00 1.788668375172001674e+02
5.500000000000000000e+00 1.802416389211201988e+02
5.600000000000000533e+00 1.815090391359507862e+02
5.700000000000000178e+00 1.826670239506968016e+02
5.800000000000000711e+00 1.837135766036682014e+02
5.900000000000000355e+00 1.846466777990207504e+02
6.000000000000000000e+00 1.854643057257976011e+02
6.100000000000000533e+00 1.861644360794530826e+02
6.200000000000000178e+00 1.867450420858373832e+02
6.300000000000000711e+00 1.872040945276184516e+02
6.400000000000000355e+00 1.875395617731152242e+02
6.500000000000000000e+00 1.877494098075133593e+02
6.600000000000000533e+00 1.878316022664328955e+02
6.700000000000000178e+00 1.877841004718149236e+02
6.800000000000000711e+00 1.876048634700914874e+02
6.900000000000000355e+00 1.872918480726011978e+02
7.000000000000000000e+00 1.868430088982106270e+02
7.100000000000000533e+00 1.862562984180996466e+02
7.200000000000000178e+00 1.855296670026662298e+02
7.300000000000000711e+00 1.846610629705044175e+02
7.400000000000000355e+00 1.836484326394075595e+02
7.500000000000000000e+00 1.824897203793458971e+02
7.600000000000000533e+00 1.811828686673665629e+02
7.700000000000000178e+00 1.797258181443617957e+02
7.800000000000000711e+00 1.781165076736491812e+02
7.900000000000000355e+00 1.763528744013063374e+02
8.000000000000000000e+00 1.744328538182004422e+02
8.099999999999999645e+00 1.723543798236509303e+02
8.200000000000001066e+00 1.701153847906634553e+02
8.300000000000000711e+00 1.677137996326700033e+02
8.400000000000000355e+00 1.651475538717091354e+02
8.500000000000000000e+00 1.624145757079800205e+02
8.599999999999999645e+00 1.595127920907007422e+02
8.700000000000001066e+00 1.564401287902011575e+02
8.800000000000000711e+00 1.531945104711796262e+02
8.900000000000000355e+00 1.497738607670501381e+02
9.000000000000000000e+00 1.461761023553080747e+02
9.099999999999999645e+00 1.423991570338390034e+02
9.200000000000001066e+00 1.384409457980956120e+02
9.300000000000000711e+00 1.342993889190668142e+02
9.400000000000000355e+00 1.299724060219612625e+02
9.500000000000000000e+00 1.254579161655289283e+02
9.600000000000001421e+00 1.207538379219412548e+02
9.700000000000001066e+00 1.158580894571520190e+02
9.800000000000000711e+00 1.107685886116582310e+02
9.900000000000000355e+00 1.054832529815831208e+02
1.000000000000000000e+01 1.000000000000000000e+02
